BF28,829588.55,9133677.6,3260,M
B29,829584.39,9133746.19,3259,M
A29,829590.14,9133695.51,3260,M
BF29,829587.41,9133682.67,3260,M
BF30,829586.47,9133687.78,3260,M
A30,829588.62,9133700.78,3260,M
B30,829582.56,9133752.88,3259,M
A31,829586.93,9133706.01,3260,M
BF31,829585.82,9133692.94,3260,M
A32,829585.68,9133711.37,3260,M
BF32,829584.68,9133697.99,3260,M
A33,829584.48,9133716.73,3260,M
BF33,829583.09,9133702.94,3260,M
A34,829583.27,9133722.1,3260,M
BF34,829581.74,9133707.95,3260,M
A35,829582.49,9133727.53,3260,M
BF35,829580.6,9133713.03,3260,M
A36,829582.12,9133733.01,3260,M
BF36,829579.46,9133718.1,3260,M
A37,829581.41,9133738.44,3260,M
BF37,829578.32,9133723.18,3260,M
A38,829579.81,9133743.7,3260,M
BF38,829577.82,9133728.34,3260,M
BF39,829577.48,9133733.53,3260,M
A39,829578.11,9133748.93,3260,M
BF40,829576.55,9133738.61,3260,M
A40,829576.17,9133754.07,3260,M
A41,829574.22,9133759.22,3260,M
BF41,829575.04,9133743.59,3260,M
BF42,829573.35,9133748.5,3260,M
BF43,829571.51,9133753.37,3260,M
BF44,829569.61,9133758.2,3260,M
