E12,829793.15,9133852.79,3155.2,M
D12,829794.57,9133846.24,3155.2,M
G12,829790.31,9133865.88,3155.2,M
BF12,829726.71,9133816.88,3156,M
F12,829791.73,9133859.34,3155.2,M
A12,829730,9133836.01,3157.5,M
TC12,829786.97,9133829.78,3155,M
C12,829794.88,9133840.17,3155.2,M
D13,829799.53,9133850.75,3155.2,M
A13,829729.32,9133841.45,3157.5,M
TC13,829791.36,9133833.05,3155,M
E13,829798.11,9133857.29,3155.2,M
BF13,829726.35,9133822.06,3156,M
F13,829796.68,9133863.84,3155.2,M
C13,829799.17,9133845.33,3155.2,M
C14,829804.77,9133849.01,3155.2,M
D14,829804.48,9133855.25,3155.2,M
TC14,829795.06,9133837.07,3155,M
BF14,829725.99,9133827.25,3156,M
E14,829803.06,9133861.8,3155.2,M
BF15,829725.64,9133832.44,3156,M
D15,829809.44,9133859.75,3155.2,M
TC15,829797.04,9133842.22,3155,M
TC16,829801.86,9133844.86,3155,M
BF16,829725.28,9133837.63,3156,M
TC17,829806.51,9133847.75,3155,M
TC18,829808.84,9133852.73,3155,M
TC19,829811.09,9133857.74,3155,M
